 AgntStrts: ,19, EstInteractns: ,1000, InteractnsHndld: ,1003, HndlTme: ,8.5, ASR: ,23.08, EstUtil: ,0.94, Tmestmp: ,9/12/2023 8:22:43
 AgntStrts: ,20, EstInteractns: ,1000, InteractnsHndld: ,1007, HndlTme: ,8.5, ASR: ,14.16, EstUtil: ,0.89, Tmestmp: ,9/12/2023 8:22:49
 AgntStrts: ,21, EstInteractns: ,1000, InteractnsHndld: ,1005, HndlTme: ,8.5, ASR: ,10.74, EstUtil: ,0.85, Tmestmp: ,9/12/2023 8:22:55
 AgntStrts: ,22, EstInteractns: ,1000, InteractnsHndld: ,1006, HndlTme: ,8.5, ASR: ,9.54, EstUtil: ,0.81, Tmestmp: ,9/12/2023 8:23:1
 AgntStrts: ,23, EstInteractns: ,1000, InteractnsHndld: ,1004, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.77, Tmestmp: ,9/12/2023 8:23:8
 AgntStrts: ,24, EstInteractns: ,1000, InteractnsHndld: ,1004, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.74, Tmestmp: ,9/12/2023 8:23:15
 AgntStrts: ,17, EstInteractns: ,1050, InteractnsHndld: ,948, HndlTme: ,8.5, ASR: ,92.62, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:23:24
 AgntStrts: ,18, EstInteractns: ,1050, InteractnsHndld: ,1011, HndlTme: ,8.5, ASR: ,63.36, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:23:30
 AgntStrts: ,19, EstInteractns: ,1050, InteractnsHndld: ,1055, HndlTme: ,8.5, ASR: ,37.28, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:23:36
 AgntStrts: ,20, EstInteractns: ,1050, InteractnsHndld: ,1055, HndlTme: ,8.5, ASR: ,21.86, EstUtil: ,0.93, Tmestmp: ,9/12/2023 8:23:43
 AgntStrts: ,21, EstInteractns: ,1050, InteractnsHndld: ,1054, HndlTme: ,8.5, ASR: ,15.22, EstUtil: ,0.89, Tmestmp: ,9/12/2023 8:23:49
 AgntStrts: ,22, EstInteractns: ,1050, InteractnsHndld: ,1057, HndlTme: ,8.5, ASR: ,11.99, EstUtil: ,0.85, Tmestmp: ,9/12/2023 8:23:55
 AgntStrts: ,23, EstInteractns: ,1050, InteractnsHndld: ,1054, HndlTme: ,8.5, ASR: ,8.75, EstUtil: ,0.81, Tmestmp: ,9/12/2023 8:24:1
 AgntStrts: ,24, EstInteractns: ,1050, InteractnsHndld: ,1054, HndlTme: ,8.5, ASR: ,8.73, EstUtil: ,0.78, Tmestmp: ,9/12/2023 8:24:7
 AgntStrts: ,17, EstInteractns: ,1100, InteractnsHndld: ,948, HndlTme: ,8.5, ASR: ,106.34, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:24:15
 AgntStrts: ,18, EstInteractns: ,1100, InteractnsHndld: ,1011, HndlTme: ,8.5, ASR: ,81.43, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:24:23
 AgntStrts: ,19, EstInteractns: ,1100, InteractnsHndld: ,1103, HndlTme: ,8.5, ASR: ,66.63, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:24:30
 AgntStrts: ,20, EstInteractns: ,1100, InteractnsHndld: ,1113, HndlTme: ,8.5, ASR: ,36.34, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:24:37
 AgntStrts: ,21, EstInteractns: ,1100, InteractnsHndld: ,1111, HndlTme: ,8.5, ASR: ,22.52, EstUtil: ,0.94, Tmestmp: ,9/12/2023 8:24:44
 AgntStrts: ,22, EstInteractns: ,1100, InteractnsHndld: ,1111, HndlTme: ,8.5, ASR: ,16.0, EstUtil: ,0.89, Tmestmp: ,9/12/2023 8:24:51
 AgntStrts: ,23, EstInteractns: ,1100, InteractnsHndld: ,1112, HndlTme: ,8.5, ASR: ,9.37, EstUtil: ,0.86, Tmestmp: ,9/12/2023 8:24:58
 AgntStrts: ,24, EstInteractns: ,1100, InteractnsHndld: ,1110, HndlTme: ,8.5, ASR: ,9.3, EstUtil: ,0.82, Tmestmp: ,9/12/2023 8:25:6
 AgntStrts: ,17, EstInteractns: ,1150, InteractnsHndld: ,948, HndlTme: ,8.5, ASR: ,118.38, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:25:18
 AgntStrts: ,18, EstInteractns: ,1150, InteractnsHndld: ,1011, HndlTme: ,8.5, ASR: ,95.22, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:25:30
 AgntStrts: ,19, EstInteractns: ,1150, InteractnsHndld: ,1103, HndlTme: ,8.5, ASR: ,87.87, EstUtil: ,1.0, Tmestmp: ,9/12/2023 8:25:37
