 AgntStrts: ,16, EstInteractns: ,986, InteractnsHndld: ,799, HndlTme: ,9.9, ASR: ,133.34, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,17, EstInteractns: ,986, InteractnsHndld: ,811, HndlTme: ,9.9, ASR: ,116.61, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,18, EstInteractns: ,986, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,91.62, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,19, EstInteractns: ,986, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,84.05, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,20, EstInteractns: ,986, InteractnsHndld: ,974, HndlTme: ,9.9, ASR: ,55.71, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,21, EstInteractns: ,986, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,30.35, EstUtil: ,1, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,22, EstInteractns: ,986, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,21.55, EstUtil: ,0.92, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,23, EstInteractns: ,986, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,11.84, EstUtil: ,0.88, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,24, EstInteractns: ,986, InteractnsHndld: ,976, HndlTme: ,9.9, ASR: ,11.88, EstUtil: ,0.84, Tmestmp: ,12/14/2023 11:45
 AgntStrts: ,10, EstInteractns: ,1003, InteractnsHndld: ,490, HndlTme: ,9.9, ASR: ,239.62, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,11, EstInteractns: ,1003, InteractnsHndld: ,544, HndlTme: ,9.9, ASR: ,223.32, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,12, EstInteractns: ,1003, InteractnsHndld: ,592, HndlTme: ,9.9, ASR: ,204.79, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,13, EstInteractns: ,1003, InteractnsHndld: ,640, HndlTme: ,9.9, ASR: ,179.33, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,14, EstInteractns: ,1003, InteractnsHndld: ,707, HndlTme: ,9.9, ASR: ,174.72, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,15, EstInteractns: ,1003, InteractnsHndld: ,761, HndlTme: ,9.9, ASR: ,153.2, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,16, EstInteractns: ,1003, InteractnsHndld: ,802, HndlTme: ,9.9, ASR: ,137.89, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,17, EstInteractns: ,1003, InteractnsHndld: ,814, HndlTme: ,9.9, ASR: ,121.16, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,18, EstInteractns: ,1003, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,98.03, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,19, EstInteractns: ,1003, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,92.5, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,20, EstInteractns: ,1003, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,Ma, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,21, EstInteractns: ,1003, InteractnsHndld: ,1009, HndlTme: ,9.9, ASR: ,37.07, EstUtil: ,1, Tmestmp: ,12/14/2023 11:46
 AgntStrts: ,22, EstInteractns: ,1003, InteractnsHndld: ,1005, HndlTme: ,9.9, ASR: ,24.95, EstUtil: ,0.94, Tmestmp: ,12/14/2023 11:47
 AgntStrts: ,23, EstInteractns: ,1003, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,13.17, EstUtil: ,0.9, Tmestmp: ,12/14/2023 11:47
 AgntStrts: ,24, EstInteractns: ,1003, InteractnsHndld: ,1006, HndlTme: ,9.9, ASR: ,13.02, EstUtil: ,0.87, Tmestmp: ,12/14/2023 11:47
