 AgntStrts: ,22, EstInteractns: ,1004, InteractnsHndld: ,1006, HndlTme: ,9.9, ASR: ,25.02, EstUtil: ,0.94, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,23, EstInteractns: ,1004, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,13.01, EstUtil: ,0.9, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,24, EstInteractns: ,1004, InteractnsHndld: ,1005, HndlTme: ,9.9, ASR: ,12.91, EstUtil: ,0.86, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,25, EstInteractns: ,1004, InteractnsHndld: ,1006, HndlTme: ,9.9, ASR: ,10.34, EstUtil: ,0.83, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,26, EstInteractns: ,1004, InteractnsHndld: ,1009, HndlTme: ,9.9, ASR: ,10.03, EstUtil: ,0.8, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,27, EstInteractns: ,1004, InteractnsHndld: ,1008, HndlTme: ,9.9, ASR: ,10.04, EstUtil: ,0.77, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,28, EstInteractns: ,1004, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.74, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,29, EstInteractns: ,1004, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.72, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,30, EstInteractns: ,1004, InteractnsHndld: ,1009, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.69, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,20, EstInteractns: ,1011, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,73.59, EstUtil: ,1, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,21, EstInteractns: ,1011, InteractnsHndld: ,1022, HndlTme: ,9.9, ASR: ,44.79, EstUtil: ,1, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,22, EstInteractns: ,1011, InteractnsHndld: ,1020, HndlTme: ,9.9, ASR: ,28.38, EstUtil: ,1, Tmestmp: ,9/29/2023 7:28
